run_dir,n_rows,n_holdout_rows,n_cv_rows,holdout_groups,holdout_mice_seen,cv_overlap_with_holdout_groups,holdout_rows_outside_holdout_groups,holdout_groups_missing_in_holdout_split,ok,center,holdout_control,holdout_endo,holdout_exo
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_042518_p2lk_2900_trpatch8_ss22__h1ta_c-mk3__e-mend2a__x-mexo2a_s42__m02_p2lk_2900_trpatch8_ss22__2900,118,34,84,"[""mk3"", ""mend2a"", ""mexo2a""]","[""mend2a"", ""mexo2a"", ""mk3""]",[],[],[],true,2900,mk3,mend2a,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_042616_p2lk_2900_trpatch8_ss33__h1ta_c-mk3__e-mend2a__x-mexo2a_s42__m03_p2lk_2900_trpatch8_ss33__2900,118,34,84,"[""mk3"", ""mend2a"", ""mexo2a""]","[""mend2a"", ""mexo2a"", ""mk3""]",[],[],[],true,2900,mk3,mend2a,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_042723_p2lk_2900_trpatch8_ss42__h1ta_c-mk3__e-mend2a__x-mexo2a_s42__m04_p2lk_2900_trpatch8_ss42__2900,118,34,84,"[""mk3"", ""mend2a"", ""mexo2a""]","[""mend2a"", ""mexo2a"", ""mk3""]",[],[],[],true,2900,mk3,mend2a,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_042745_p2lk_1500_ramannet_ss11__h1ta_c-mk3__e-mend2b__x-mexo2a_s42__m01_p2lk_1500_ramannet_ss11__1500,118,34,84,"[""mk3"", ""mend2b"", ""mexo2a""]","[""mend2b"", ""mexo2a"", ""mk3""]",[],[],[],true,1500,mk3,mend2b,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_042805_p2lk_1500_ramannet_ss22__h1ta_c-mk3__e-mend2b__x-mexo2a_s42__m02_p2lk_1500_ramannet_ss22__1500,118,34,84,"[""mk3"", ""mend2b"", ""mexo2a""]","[""mend2b"", ""mexo2a"", ""mk3""]",[],[],[],true,1500,mk3,mend2b,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_042822_p2lk_1500_ramannet_ss33__h1ta_c-mk3__e-mend2b__x-mexo2a_s42__m03_p2lk_1500_ramannet_ss33__1500,118,34,84,"[""mk3"", ""mend2b"", ""mexo2a""]","[""mend2b"", ""mexo2a"", ""mk3""]",[],[],[],true,1500,mk3,mend2b,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_042838_p2lk_1500_ramannet_ss42__h1ta_c-mk3__e-mend2b__x-mexo2a_s42__m04_p2lk_1500_ramannet_ss42__1500,118,34,84,"[""mk3"", ""mend2b"", ""mexo2a""]","[""mend2b"", ""mexo2a"", ""mk3""]",[],[],[],true,1500,mk3,mend2b,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_042923_p2lk_2900_trpatch8_ss11__h1ta_c-mk3__e-mend2b__x-mexo2a_s42__m01_p2lk_2900_trpatch8_ss11__2900,118,34,84,"[""mk3"", ""mend2b"", ""mexo2a""]","[""mend2b"", ""mexo2a"", ""mk3""]",[],[],[],true,2900,mk3,mend2b,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_043020_p2lk_2900_trpatch8_ss22__h1ta_c-mk3__e-mend2b__x-mexo2a_s42__m02_p2lk_2900_trpatch8_ss22__2900,118,34,84,"[""mk3"", ""mend2b"", ""mexo2a""]","[""mend2b"", ""mexo2a"", ""mk3""]",[],[],[],true,2900,mk3,mend2b,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_043111_p2lk_2900_trpatch8_ss33__h1ta_c-mk3__e-mend2b__x-mexo2a_s42__m03_p2lk_2900_trpatch8_ss33__2900,118,34,84,"[""mk3"", ""mend2b"", ""mexo2a""]","[""mend2b"", ""mexo2a"", ""mk3""]",[],[],[],true,2900,mk3,mend2b,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_043158_p2lk_2900_trpatch8_ss42__h1ta_c-mk3__e-mend2b__x-mexo2a_s42__m04_p2lk_2900_trpatch8_ss42__2900,118,34,84,"[""mk3"", ""mend2b"", ""mexo2a""]","[""mend2b"", ""mexo2a"", ""mk3""]",[],[],[],true,2900,mk3,mend2b,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_043220_p2lk_1500_ramannet_ss11__h1ta_c-mk3__e-mend3__x-mexo2b_s42__m01_p2lk_1500_ramannet_ss11__1500,118,28,90,"[""mk3"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk3""]",[],[],[],true,1500,mk3,mend3,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_043250_p2lk_1500_ramannet_ss22__h1ta_c-mk3__e-mend3__x-mexo2b_s42__m02_p2lk_1500_ramannet_ss22__1500,118,28,90,"[""mk3"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk3""]",[],[],[],true,1500,mk3,mend3,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_043307_p2lk_1500_ramannet_ss33__h1ta_c-mk3__e-mend3__x-mexo2b_s42__m03_p2lk_1500_ramannet_ss33__1500,118,28,90,"[""mk3"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk3""]",[],[],[],true,1500,mk3,mend3,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_043325_p2lk_1500_ramannet_ss42__h1ta_c-mk3__e-mend3__x-mexo2b_s42__m04_p2lk_1500_ramannet_ss42__1500,118,28,90,"[""mk3"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk3""]",[],[],[],true,1500,mk3,mend3,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_043415_p2lk_2900_trpatch8_ss11__h1ta_c-mk3__e-mend3__x-mexo2b_s42__m01_p2lk_2900_trpatch8_ss11__2900,118,28,90,"[""mk3"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk3""]",[],[],[],true,2900,mk3,mend3,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_043515_p2lk_2900_trpatch8_ss22__h1ta_c-mk3__e-mend3__x-mexo2b_s42__m02_p2lk_2900_trpatch8_ss22__2900,118,28,90,"[""mk3"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk3""]",[],[],[],true,2900,mk3,mend3,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_043623_p2lk_2900_trpatch8_ss33__h1ta_c-mk3__e-mend3__x-mexo2b_s42__m03_p2lk_2900_trpatch8_ss33__2900,118,28,90,"[""mk3"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk3""]",[],[],[],true,2900,mk3,mend3,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_043729_p2lk_2900_trpatch8_ss42__h1ta_c-mk3__e-mend3__x-mexo2b_s42__m04_p2lk_2900_trpatch8_ss42__2900,118,28,90,"[""mk3"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk3""]",[],[],[],true,2900,mk3,mend3,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_043754_p2lk_1500_ramannet_ss11__h1ta_c-mk3__e-mend3__x-mexo3_s42__m01_p2lk_1500_ramannet_ss11__1500,118,28,90,"[""mk3"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk3""]",[],[],[],true,1500,mk3,mend3,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_043813_p2lk_1500_ramannet_ss22__h1ta_c-mk3__e-mend3__x-mexo3_s42__m02_p2lk_1500_ramannet_ss22__1500,118,28,90,"[""mk3"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk3""]",[],[],[],true,1500,mk3,mend3,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_043832_p2lk_1500_ramannet_ss33__h1ta_c-mk3__e-mend3__x-mexo3_s42__m03_p2lk_1500_ramannet_ss33__1500,118,28,90,"[""mk3"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk3""]",[],[],[],true,1500,mk3,mend3,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_043854_p2lk_1500_ramannet_ss42__h1ta_c-mk3__e-mend3__x-mexo3_s42__m04_p2lk_1500_ramannet_ss42__1500,118,28,90,"[""mk3"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk3""]",[],[],[],true,1500,mk3,mend3,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_043945_p2lk_2900_trpatch8_ss11__h1ta_c-mk3__e-mend3__x-mexo3_s42__m01_p2lk_2900_trpatch8_ss11__2900,118,28,90,"[""mk3"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk3""]",[],[],[],true,2900,mk3,mend3,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_044043_p2lk_2900_trpatch8_ss22__h1ta_c-mk3__e-mend3__x-mexo3_s42__m02_p2lk_2900_trpatch8_ss22__2900,118,28,90,"[""mk3"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk3""]",[],[],[],true,2900,mk3,mend3,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_044211_p2lk_2900_trpatch8_ss33__h1ta_c-mk3__e-mend3__x-mexo3_s42__m03_p2lk_2900_trpatch8_ss33__2900,118,28,90,"[""mk3"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk3""]",[],[],[],true,2900,mk3,mend3,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_044303_p2lk_2900_trpatch8_ss42__h1ta_c-mk3__e-mend3__x-mexo3_s42__m04_p2lk_2900_trpatch8_ss42__2900,118,28,90,"[""mk3"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk3""]",[],[],[],true,2900,mk3,mend3,mexo3
